restaurant_name,review_text,rating
Iron Skillet,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",5
Sunset Terrace,My ribeye steak was cooked perfectly and had great mesquite flavor.,5
The Corner Bistro,I don't think we'll be going back anytime soon.,1
Maple & Vine,Food was so gooodd.,5
Riverside Grill,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,1
Oak & Ember,I was so insulted.,1
Harbor House,The last 3 times I had lunch here has been bad.,1
Blue Willow,The chicken wings contained the driest chicken meat I have ever eaten.,1
Cedar & Salt,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",5
The Garden Fork,Nargile - I think you are great.,5
Iron Skillet,Best tater tots in the southwest.,5
Sunset Terrace,We loved the place.,5
The Corner Bistro,Definitely not worth the $3 I paid.,1
Maple & Vine,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,5
Riverside Grill,Im in AZ all the time and now have my new spot.,5
Oak & Ember,The manager was the worst.,1
Harbor House,The inside is really quite nice and very clean.,5
Blue Willow,The food was outstanding and the prices were very reasonable.,5
Cedar & Salt,I don't think I'll be running back to Carly's anytime soon for food.,1
The Garden Fork,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",1
Iron Skillet,"Love the margaritas, too!",5
Sunset Terrace,This was my first and only Vegas buffet and it did not disappoint.,5
The Corner Bistro,"Very good, though!",5
Maple & Vine,The one down note is the ventilation could use some upgrading.,1
Riverside Grill,Great pork sandwich.,5
Oak & Ember,Don't waste your time here.,1
Harbor House,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",1
Blue Willow,"Third, the cheese on my friend's burger was cold.",1
Cedar & Salt,We enjoy their pizza and brunch.,5
The Garden Fork,The steaks are all well trimmed and also perfectly cooked.,5
Iron Skillet,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,5
Sunset Terrace,I LOVED it!,5
The Corner Bistro,We asked for the bill to leave without eating and they didn't bring that either.,1
Maple & Vine,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",5
Riverside Grill,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,1
Oak & Ember,The selection of food was not the best.,1
Harbor House,Delicious and I will absolutely be back!,5
Blue Willow,"This isn't a small family restaurant, this is a fine dining establishment.",5
Cedar & Salt,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,5
The Garden Fork,I dont think I will be back for a very long time.,1
Iron Skillet,"It was attached to a gas station, and that is rarely a good sign.",1
Sunset Terrace,How awesome is that.,5
The Corner Bistro,I will be back many times soon.,5
Maple & Vine,The menu had so much good stuff on it i could not decide!,5
Riverside Grill,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",1
Oak & Ember,CONCLUSION: Very filling meals.,5
Harbor House,Their daily specials are always a hit with my group.,5
Blue Willow,And then tragedy struck.,1
Cedar & Salt,The pancake was also really good and pretty large at that.,5
The Garden Fork,"This was my first crawfish experience, and it was delicious!",5
Iron Skillet,Their monster chicken fried steak and eggs is my all time favorite.,5
Sunset Terrace,Waitress was sweet and funny.,5
The Corner Bistro,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",5
Maple & Vine,"I'd rather eat airline food, seriously.",1
Riverside Grill,Cant say enough good things about this place.,5
Oak & Ember,The ambiance was incredible.,5
Harbor House,The waitress and manager are so friendly.,5
Blue Willow,I would not recommend this place.,1
Cedar & Salt,Overall I wasn't very impressed with Noca.,1
The Garden Fork,My gyro was basically lettuce only.,1
Iron Skillet,Terrible service!,1
Sunset Terrace,Thoroughly disappointed!,1
The Corner Bistro,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",5
Maple & Vine,"Give it a try, you will be happy you did.",5
Riverside Grill,By far the BEST cheesecurds we have ever had!,5
Oak & Ember,Reasonably priced also!,5
Harbor House,Everything was perfect the night we were in.,5
Blue Willow,The food is very good for your typical bar food.,5
Cedar & Salt,it was a drive to get there.,1
The Garden Fork,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",5
Iron Skillet,"Anyway, I do not think i will go back there.",1
Sunset Terrace,"Point your finger at any item on the menu, order it and you won't be disappointed.",5
The Corner Bistro,"Oh this is such a thing of beauty, this restaurant.",5
Maple & Vine,If you haven't gone here GO NOW!,5
Riverside Grill,"A greasy, unhealthy meal.",1
Oak & Ember,first time there and might just be the last.,1
Harbor House,Those burgers were amazing.,5
Blue Willow,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",1
Cedar & Salt,And it was way to expensive.,1
The Garden Fork,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",5
Iron Skillet,This was my first time and I can't wait until the next.,5
Sunset Terrace,The bartender was also nice.,5
The Corner Bistro,Everything was good and tasty!,5
Maple & Vine,This place is two thumbs up....way up.,5
Riverside Grill,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",5
Oak & Ember,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",5
Harbor House,Terrible management.,1
Blue Willow,An excellent new restaurant by an experienced Frenchman.,5
Cedar & Salt,If there were zero stars I would give it zero stars.,1
The Garden Fork,"Great steak, great sides, great wine, amazing desserts.",5
Iron Skillet,Worst martini ever!,1
Sunset Terrace,The steak and the shrimp are in my opinion the best entrees at GC.,5
The Corner Bistro,I had the opportunity today to sample your amazing pizzas!,5
Maple & Vine,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,1
Riverside Grill,The yellowtail carpaccio was melt in your mouth fresh.,5
Oak & Ember,I won't try going back there even if it's empty.,1
Harbor House,"No, I'm going to eat the potato that I found some strangers hair in it.",1
Blue Willow,Just spicy enough.. Perfect actually.,5
Cedar & Salt,Last night was my second time dining here and I was so happy I decided to go back!,5
The Garden Fork,"not even a ""hello, we will be right with you.""",1
Iron Skillet,The desserts were a bit strange.,1
Sunset Terrace,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,5
The Corner Bistro,"I really do recommend this place, you can go wrong with this donut place!",5
Maple & Vine,Nice ambiance.,5
Riverside Grill,I would recommend saving room for this!,5
Oak & Ember,I guess maybe we went on an off night but it was disgraceful.,1
Harbor House,"However, my recent experience at this particular location was not so good.",1
Blue Willow,"I know this is not like the other restaurants at all, something is very off here!",1
Cedar & Salt,AVOID THIS ESTABLISHMENT!,1
The Garden Fork,I think this restaurant suffers from not trying hard enough.,1
Iron Skillet,All of the tapas dishes were delicious!,5
Sunset Terrace,I *heart* this place.,5
The Corner Bistro,My salad had a bland vinegrette on the baby greens and hearts of Palm.,1
Maple & Vine,After two I felt disgusting.,1
Riverside Grill,A good time!,5
Oak & Ember,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,5
Harbor House,Generous portions and great taste.,5
Blue Willow,I will never go back to this place and will never ever recommended this place to anyone!,1
Cedar & Salt,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",1
The Garden Fork,Food was delicious!,5
Iron Skillet,AN HOUR... seriously?,1
Sunset Terrace,I consider this theft.,1
The Corner Bistro,Eew... This location needs a complete overhaul.,1
Maple & Vine,We recently witnessed her poor quality of management towards other guests as well.,1
Riverside Grill,Waited and waited and waited.,1
Oak & Ember,"He also came back to check on us regularly, excellent service.",5
Harbor House,Our server was super nice and checked on us many times.,5
Blue Willow,"The pizza tasted old, super chewy in not a good way.",1
Cedar & Salt,I swung in to give them a try but was deeply disappointed.,1
The Garden Fork,Service was good and the company was better!,5
Iron Skillet,The staff are also very friendly and efficient.,5
Sunset Terrace,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",5
The Corner Bistro,Boy was that sucker dry!!.,1
Maple & Vine,Over rated.,1
Riverside Grill,"If you look for authentic Thai food, go else where.",1
Oak & Ember,Their steaks are 100% recommended!,5
Harbor House,After I pulled up my car I waited for another 15 minutes before being acknowledged.,1
Blue Willow,Great food and great service in a clean and friendly setting.,5
Cedar & Salt,"All in all, I can assure you I'll be back.",5
The Garden Fork,I hate those things as much as cheap quality black olives.,1
Iron Skillet,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",5
Sunset Terrace,The kids play area is NASTY!,1
The Corner Bistro,Great place fo take out or eat in.,5
Maple & Vine,The waitress was friendly and happy to accomodate for vegan/veggie options.,5
Riverside Grill,OMG I felt like I had never eaten Thai food until this dish.,5
Oak & Ember,"It was extremely ""crumby"" and pretty tasteless.",1
Harbor House,It was a pale color instead of nice and char and has NO flavor.,1
Blue Willow,The croutons also taste homemade which is an extra plus.,5
Cedar & Salt,I got home to see the driest damn wings ever!,1
The Garden Fork,It'll be a regular stop on my trips to Phoenix!,5
Iron Skillet,I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,5
Sunset Terrace,Not good for the money.,1
The Corner Bistro,I miss it and wish they had one in Philadelphia!,5
Maple & Vine,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",1
Riverside Grill,They also have the best cheese crisp in town.,5
Oak & Ember,"Good value, great food, great service.",5
Harbor House,Couldn't ask for a more satisfying meal.,5
Blue Willow,The food is good.,5
Cedar & Salt,It was awesome.,5
The Garden Fork,I just wanted to leave.,1
Iron Skillet,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,5
Sunset Terrace,I will not be eating there again.,1
The Corner Bistro,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,1
Maple & Vine,I checked out this place a couple years ago and was not impressed.,1
Riverside Grill,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",1
Oak & Ember,"Sorry, I will not be getting food from here anytime soon :(",1
Harbor House,An absolute must visit!,5
Blue Willow,The cow tongue and cheek tacos are amazing.,5
Cedar & Salt,My friend did not like his Bloody Mary.,1
The Garden Fork,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",1
Iron Skillet,They really want to make your experience a good one.,5
Sunset Terrace,I will not return.,1
The Corner Bistro,I had the chicken Pho and it tasted very bland.,1
Maple & Vine,Very disappointing!!!,1
Riverside Grill,The grilled chicken was so tender and yellow from the saffron seasoning.,5
Oak & Ember,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",1
Harbor House,Pretty awesome place.,5
Blue Willow,Ambience is perfect.,5
Cedar & Salt,Best of luck to the rude and non-customer service focused new management.,1
The Garden Fork,Any grandmother can make a roasted chicken better than this one.,1
Iron Skillet,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,1
Sunset Terrace,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",5
The Corner Bistro,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,5
Maple & Vine,The roast beef sandwich tasted really good!,5
Riverside Grill,"Same evening, him and I are both drastically sick.",1
Oak & Ember,High-quality chicken on the chicken Caesar salad.,5
Harbor House,Ordered burger rare came in we'll done.,1
Blue Willow,We were promptly greeted and seated.,5
Cedar & Salt,Tried to go here for lunch and it was a madhouse.,1
The Garden Fork,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",5
Iron Skillet,"After waiting an hour and being seated, I was not in the greatest of moods.",1
Sunset Terrace,This is a good joint.,5
The Corner Bistro,The Macarons here are insanely good.,5
Maple & Vine,I'm not eating here!,1
Riverside Grill,"Our waiter was very attentive, friendly, and informative.",5
Oak & Ember,Maybe if they weren't cold they would have been somewhat edible.,1
Harbor House,This place has a lot of promise but fails to deliver.,1
Blue Willow,Very bad Experience!,1
Cedar & Salt,What a mistake.,1
The Garden Fork,Food was average at best.,1
Iron Skillet,Great food.,5
Sunset Terrace,We won't be going back anytime soon!,1
The Corner Bistro,Very Very Disappointed ordered the $35 Big Bay Plater.,1
Maple & Vine,Great place to relax and have an awesome burger and beer.,5
Riverside Grill,It is PERFECT for a sit-down family meal or get together with a few friends.,5
Oak & Ember,"Not much flavor to them, and very poorly constructed.",1
Harbor House,The patio seating was very comfortable.,5
Blue Willow,The fried rice was dry as well.,1
Cedar & Salt,Hands down my favorite Italian restaurant!,5
The Garden Fork,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",5
Iron Skillet,It was just not a fun experience.,5
Sunset Terrace,The atmosphere was great with a lovely duo of violinists playing songs we requested.,5
The Corner Bistro,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",5
Maple & Vine,"Very convenient, since we were staying at the MGM!",5
Riverside Grill,The owners are super friendly and the staff is courteous.,5
Oak & Ember,Both great!,5
Harbor House,Eclectic selection.,5
Blue Willow,The sweet potato tots were good but the onion rings were perfection or as close as I have had.,5
Cedar & Salt,The staff was very attentive.,5
The Garden Fork,And the chef was generous with his time (even came around twice so we can take pictures with him).,5
Iron Skillet,"The owner used to work at Nobu, so this place is really similar for half the price.",5
Sunset Terrace,Google mediocre and I imagine Smashburger will pop up.,1
The Corner Bistro,dont go here.,1
Maple & Vine,I promise they won't disappoint.,5
Riverside Grill,As a sushi lover avoid this place by all means.,1
Oak & Ember,What a great double cheeseburger!,5
Harbor House,Awesome service and food.,5
Blue Willow,A fantastic neighborhood gem !!!,5
Cedar & Salt,I can't wait to go back.,5
The Garden Fork,The plantains were the worst I've ever tasted.,1
Iron Skillet,It's a great place and I highly recommend it.,5
Sunset Terrace,Service was slow and not attentive.,1
The Corner Bistro,"I gave it 5 stars then, and I'm giving it 5 stars now.",5
Maple & Vine,Your staff spends more time talking to themselves than me.,1
Riverside Grill,Dessert: Panna Cotta was amazing.,5
Oak & Ember,"Very good food, great atmosphere.1",5
Harbor House,Damn good steak.,5
Blue Willow,Total brunch fail.,1
Cedar & Salt,"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",5
The Garden Fork,"The decor is nice, and the piano music soundtrack is pleasant.",5
Iron Skillet,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,5
Sunset Terrace,"Good food , good service .",5
The Corner Bistro,It was absolutely amazing.,5
Maple & Vine,"I probably won't be back, to be honest.",1
Riverside Grill,will definitely be back!,5
Oak & Ember,The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,5
Harbor House,"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",5
Blue Willow,Went for lunch - service was slow.,1
Cedar & Salt,"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",1
The Garden Fork,I was mortified.,1
Iron Skillet,"Needless to say, we will never be back here again.",1
Sunset Terrace,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",1
The Corner Bistro,"The chips that came out were dripping with grease, and mostly not edible.",1
Maple & Vine,I wasn't really impressed with Strip Steak.,1
Riverside Grill,Have been going since 2007 and every meal has been awesome!!,5
Oak & Ember,Our server was very nice and attentive as were the other serving staff.,5
Harbor House,The cashier was friendly and even brought the food out to me.,5
Blue Willow,I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,1
Cedar & Salt,The atmosphere here is fun.,5
The Garden Fork,Would not recommend to others.,1
Iron Skillet,"Service is quick and even ""to go"" orders are just like we like it!",5
Sunset Terrace,"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",1
The Corner Bistro,"That said, our mouths and bellies were still quite pleased.",5
Maple & Vine,Not my thing.,1
Riverside Grill,2 Thumbs Up!!,5
Oak & Ember,If you are reading this please don't go there.,1
Harbor House,"I loved the grilled pizza, reminded me of legit Italian pizza.",5
Blue Willow,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,5
Cedar & Salt,They have a really nice atmosphere.,5
The Garden Fork,Tonight I had the Elk Filet special...and it sucked.,1
Iron Skillet,"After one bite, I was hooked.",5
Sunset Terrace,We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,1
The Corner Bistro,"Cute, quaint, simple, honest.",5
Maple & Vine,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,5
Riverside Grill,"The food was great as always, compliments to the chef.",5
Oak & Ember,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,5
Harbor House,Awesome selection of beer.,5
Blue Willow,Great food and awesome service!,5
Cedar & Salt,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",5
The Garden Fork,A FLY was in my apple juice.. A FLY!!!!!!!!,1
Iron Skillet,The Han Nan Chicken was also very tasty.,5
Sunset Terrace,"As for the service, I thought it was good.",5
The Corner Bistro,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",1
Maple & Vine,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,1
Riverside Grill,Nicest Chinese restaurant I've been in a while.,5
Oak & Ember,"Overall, I like there food and the service.",5
Harbor House,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,5
Blue Willow,"Probably never coming back, and wouldn't recommend it.",1
Cedar & Salt,"Friend's pasta -- also bad, he barely touched it.",1
The Garden Fork,"Try them in the airport to experience some tasty food and speedy, friendly service.",5
Iron Skillet,I love the decor with the Chinese calligraphy wall paper.,5
Sunset Terrace,Never had anything to complain about here.,5
The Corner Bistro,The restaurant is very clean and has a family restaurant feel to it.,5
Maple & Vine,It was way over fried.,1
Riverside Grill,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,1
Oak & Ember,"When I opened the sandwich, I was impressed, but not in a good way.",1
Harbor House,Will not be back!,1
Blue Willow,There was a warm feeling with the service and I felt like their guest for a special treat.,5
Cedar & Salt,An extensive menu provides lots of options for breakfast.,5
The Garden Fork,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",5
Iron Skillet,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",1
Sunset Terrace,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,5
The Corner Bistro,"I got to enjoy the seafood salad, with a fabulous vinegrette.",5
Maple & Vine,"The wontons were thin, not thick and chewy, almost melt in your mouth.",5
Riverside Grill,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",5
Oak & Ember,We were sat right on time and our server from the get go was FANTASTIC!,5
Harbor House,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",1
Blue Willow,"When I'm on this side of town, this will definitely be a spot I'll hit up again!",5
Cedar & Salt,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,1
The Garden Fork,This is a GREAT place to eat!,5
Iron Skillet,The jalapeno bacon is soooo good.,5
Sunset Terrace,The service was poor and thats being nice.,1
The Corner Bistro,"Food was good, service was good, Prices were good.",5
Maple & Vine,The place was not clean and the food oh so stale!,1
Riverside Grill,"The chicken dishes are OK, the beef is like shoe leather.",1
Oak & Ember,But the service was beyond bad.,1
Harbor House,"I'm so happy to be here!!!""",5
Blue Willow,Tasted like dirt.,1
Cedar & Salt,One of the few places in Phoenix that I would definately go back to again .,5
The Garden Fork,The block was amazing.,5
Iron Skillet,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",5
Sunset Terrace,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,5
The Corner Bistro,My sashimi was poor quality being soggy and tasteless.,1
Maple & Vine,Great time - family dinner on a Sunday night.,5
Riverside Grill,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",1
Oak & Ember,"What did bother me, was the slow service.",1
Harbor House,The flair bartenders are absolutely amazing!,5
Blue Willow,Their frozen margaritas are WAY too sugary for my taste.,1
Cedar & Salt,These were so good we ordered them twice.,5
The Garden Fork,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,1
Iron Skillet,My girlfriend's veal was very bad.,1
Sunset Terrace,"Unfortunately, it was not good.",1
The Corner Bistro,I had a pretty satifying experience.,5
Maple & Vine,Join the club and get awesome offers via email.,5
Riverside Grill,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",5
Oak & Ember,Bland and flavorless is a good way of describing the barely tepid meat.,1
Harbor House,"The chains, which I'm no fan of, beat this place easily.",1
Blue Willow,The nachos are a MUST HAVE!,5
Cedar & Salt,We will not be coming back.,1
The Garden Fork,"I don't have very many words to say about this place, but it does everything pretty well.",5
Iron Skillet,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",5
Sunset Terrace,"Great atmosphere, friendly and fast service.",5
The Corner Bistro,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,5
Maple & Vine,Once your food arrives it's meh.,1
Riverside Grill,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,1
Oak & Ember,The classic Maine Lobster Roll was fantastic.,5
Harbor House,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",1
Blue Willow,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,5
Cedar & Salt,"The chips and salsa were really good, the salsa was very fresh.",5
The Garden Fork,This place is great!!!!!!!!!!!!!!,5
Iron Skillet,Mediocre food.,1
Sunset Terrace,Once you get inside you'll be impressed with the place.,5
The Corner Bistro,I'm super pissd.,1
Maple & Vine,And service was super friendly.,5
Riverside Grill,Why are these sad little vegetables so overcooked?,1
Oak & Ember,This place was such a nice surprise!,5
Harbor House,They were golden-crispy and delicious.,5
Blue Willow,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",1
Cedar & Salt,I could eat their bruschetta all day it is devine.,5
The Garden Fork,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,1
Iron Skillet,"Lastly, the mozzarella sticks, they were the best thing we ordered.",5
Sunset Terrace,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",5
The Corner Bistro,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,1
Maple & Vine,The service was terrible though.,1
Riverside Grill,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",1
Oak & Ember,It was packed!!,1
Harbor House,I love this place.,5
Blue Willow,I can say that the desserts were yummy.,5
Cedar & Salt,The food was terrible.,1
The Garden Fork,The seasonal fruit was fresh white peach puree.,5
Iron Skillet,It kept getting worse and worse so now I'm officially done.,1
Sunset Terrace,This place should honestly be blown up.,1
The Corner Bistro,But I definitely would not eat here again.,1
Maple & Vine,Do not waste your money here!,1
Riverside Grill,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,5
Oak & Ember,The crêpe was delicate and thin and moist.,5
Harbor House,Awful service.,1
Blue Willow,Won't ever go here again.,1
Cedar & Salt,Food quality has been horrible.,1
The Garden Fork,For that price I can think of a few place I would have much rather gone.,1
Iron Skillet,The service here is fair at best.,1
Sunset Terrace,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",1
The Corner Bistro,Do yourself a favor and stay away from this dish.,1
Maple & Vine,Very poor service.,1
Riverside Grill,No one at the table thought the food was above average or worth the wait that we had for it.,1
Oak & Ember,"Best service and food ever, Maria our server was so good and friendly she made our day.",5
Harbor House,They were excellent.,5
Blue Willow,I paid the bill but did not tip because I felt the server did a terrible job.,1
Cedar & Salt,Just had lunch here and had a great experience.,5
The Garden Fork,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,1
Iron Skillet,Food is way overpriced and portions are fucking small.,1
Sunset Terrace,I recently tried Caballero's and I have been back every week since!,5
The Corner Bistro,"for 40 bucks a head, i really expect better food.",1
Maple & Vine,The food came out at a good pace.,5
Riverside Grill,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",5
Oak & Ember,I won't be back.,1
Harbor House,We could not believe how dirty the oysters were!,1
Blue Willow,This place deserves no stars.,1
Cedar & Salt,I would not recommend this place.,1
The Garden Fork,"In fact I'm going to round up to 4 stars, just because she was so awesome.",5
Iron Skillet,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",1
Sunset Terrace,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",1
The Corner Bistro,the potatoes were great and so was the biscuit.,5
Maple & Vine,I probably would not go here again.,1
Riverside Grill,So flavorful and has just the perfect amount of heat.,5
Oak & Ember,The price is reasonable and the service is great.,5
Harbor House,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",1
Blue Willow,My fella got the huevos rancheros and they didn't look too appealing.,1
Cedar & Salt,"Went in for happy hour, great list of wines.",5
The Garden Fork,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,5
Iron Skillet,I probably won't be coming back here.,1
Sunset Terrace,Worst food/service I've had in a while.,1
The Corner Bistro,"This place is pretty good, nice little vibe in the restaurant.",5
Maple & Vine,Talk about great customer service of course we will be back.,5
Riverside Grill,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",1
Oak & Ember,I love their fries and their beans.,5
Harbor House,Always a pleasure dealing with him.,5
Blue Willow,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",5
Cedar & Salt,This place is awesome if you want something light and healthy during the summer.,5
The Garden Fork,"For sushi on the Strip, this is the place to go.",5
Iron Skillet,"The service was great, even the manager came and helped with our table.",5
Sunset Terrace,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,1
The Corner Bistro,"I started this review with two stars, but I'm editing it to give it only one.",1
Maple & Vine,this is the worst sushi i have ever eat besides Costco's.,1
Riverside Grill,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",5
Oak & Ember,My boyfriend and i sat at the bar and had a completely delightful experience.,5
Harbor House,Weird vibe from owners.,1
Blue Willow,There was hardly any meat.,1
Cedar & Salt,I've had better bagels from the grocery store.,1
The Garden Fork,Go To Place for Gyros.,5
Iron Skillet,"I love the owner/chef, his one authentic Japanese cool dude!",5
Sunset Terrace,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",1
The Corner Bistro,I found a six inch long piece of wire in my salsa.,1
Maple & Vine,"The service was terrible, food was mediocre.",1
Riverside Grill,We definately enjoyed ourselves.,5
Oak & Ember,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,1
Harbor House,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",1
Blue Willow,I had about two bites and refused to eat anymore.,1
Cedar & Salt,The service was extremely slow.,1
The Garden Fork,"After 20 minutes wait, I got a table.",1
Iron Skillet,Seriously killer hot chai latte.,5
Sunset Terrace,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",1
The Corner Bistro,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,5
Maple & Vine,Their rotating beers on tap is also a highlight of this place.,5
Riverside Grill,Pricing is a bit of a concern at Mellow Mushroom.,1
Oak & Ember,Worst Thai ever.,1
Harbor House,If you stay in Vegas you must get breakfast here at least once.,5
Blue Willow,I want to first say our server was great and we had perfect service.,5
Cedar & Salt,The pizza selections are good.,5
The Garden Fork,"I had strawberry tea, which was good.",5
Iron Skillet,Highly unprofessional and rude to a loyal patron!,1
Sunset Terrace,"Overall, a great experience.",5
The Corner Bistro,Spend your money elsewhere.,1
Maple & Vine,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,5
Riverside Grill,The Buffet at Bellagio was far from what I anticipated.,1
Oak & Ember,"And the drinks are WEAK, people!",1
Harbor House,-My order was not correct.,1
Blue Willow,"Also, I feel like the chips are bought, not made in house.",1
Cedar & Salt,After the disappointing dinner we went elsewhere for dessert.,1
The Garden Fork,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,5
Iron Skillet,We won't be returning.,1
